invoice_id,issued_date,due_date,paid_date,amount,currency,customer_id,status,payment_terms_days
RE-2025-1022,2025-01-22,2025-02-21,2025-02-19,15227.12,EUR,BP-006,paid,30
RE-2025-1023,2025-01-19,2025-02-18,2025-02-24,16548.15,EUR,BP-001,paid,30
RE-2025-1024,2025-02-13,2025-02-27,2025-02-25,9563.08,EUR,BP-002,paid,14
RE-2025-1025,2025-01-28,2025-02-27,2025-02-26,18088.36,EUR,BP-003,paid,30
RE-2025-1026,2025-02-03,2025-02-17,2025-03-03,13828.34,EUR,BP-004,paid,14
RE-2025-1027,2025-01-24,2025-02-23,2025-03-04,17031.24,EUR,BP-005,paid,30
RE-2025-1028,2025-02-06,2025-03-08,2025-03-05,13891.90,EUR,BP-006,paid,30
RE-2025-1029,2025-02-05,2025-03-07,2025-03-10,13414.63,EUR,BP-001,paid,30
RE-2025-1030,2025-02-26,2025-03-12,2025-03-11,14952.67,EUR,BP-002,paid,14
RE-2025-1031,2025-02-06,2025-03-08,2025-03-12,11820.75,EUR,BP-003,paid,30
RE-2025-1032,2025-02-26,2025-03-12,2025-03-17,14308.01,EUR,BP-004,paid,14
RE-2025-1033,2025-02-04,2025-03-06,2025-03-18,14901.15,EUR,BP-005,paid,30
RE-2025-1034,2025-02-21,2025-03-23,2025-03-19,11502.90,EUR,BP-006,paid,30
RE-2025-1035,2025-02-16,2025-03-18,2025-03-24,15018.94,EUR,BP-001,paid,30
RE-2025-1036,2025-03-15,2025-03-29,2025-03-25,14888.72,EUR,BP-002,paid,14
RE-2025-1037,2025-02-22,2025-03-24,2025-03-26,11280.10,EUR,BP-003,paid,30
RE-2025-1038,2025-03-04,2025-03-18,2025-03-31,12670.16,EUR,BP-004,paid,14
RE-2025-1039,2025-02-26,2025-03-28,2025-04-01,11568.24,EUR,BP-005,paid,30
RE-2025-1040,2025-03-04,2025-04-03,2025-04-02,17391.98,EUR,BP-006,paid,30
RE-2025-1041,2025-03-05,2025-04-04,2025-04-07,12241.03,EUR,BP-001,paid,30
RE-2025-1042,2025-03-28,2025-04-11,2025-04-08,10694.15,EUR,BP-002,paid,14
RE-2025-1043,2025-03-09,2025-04-08,2025-04-09,14502.91,EUR,BP-003,paid,30
RE-2025-1044,2025-03-26,2025-04-09,2025-04-14,13047.42,EUR,BP-004,paid,14
RE-2025-1045,2025-03-10,2025-04-09,2025-04-15,11061.45,EUR,BP-005,paid,30
RE-2025-1046,2025-03-19,2025-04-18,2025-04-16,13850.25,EUR,BP-006,paid,30
RE-2025-1047,2025-03-16,2025-04-15,2025-04-21,8110.10,EUR,BP-001,paid,30
RE-2025-1048,2025-04-10,2025-04-24,2025-04-22,13970.60,EUR,BP-002,paid,14
RE-2025-1049,2025-03-24,2025-04-23,2025-04-23,16411.54,EUR,BP-003,paid,30
RE-2025-1050,2025-04-01,2025-04-15,2025-04-28,10436.30,EUR,BP-004,paid,14
RE-2025-1051,2025-03-21,2025-04-20,2025-04-29,15541.73,EUR,BP-005,paid,30
RE-2025-1052,2025-04-03,2025-05-03,2025-04-30,8716.10,EUR,BP-006,paid,30
RE-2025-1053,2025-04-02,2025-05-02,2025-05-05,14490.68,EUR,BP-001,paid,30
RE-2025-1054,2025-04-23,2025-05-07,2025-05-06,9785.82,EUR,BP-002,paid,14
RE-2025-1055,2025-04-03,2025-05-03,2025-05-07,11095.66,EUR,BP-003,paid,30
RE-2025-1056,2025-04-23,2025-05-07,2025-05-12,15035.22,EUR,BP-004,paid,14
RE-2025-1057,2025-04-02,2025-05-02,2025-05-13,10268.68,EUR,BP-005,paid,30
RE-2025-1058,2025-04-18,2025-05-18,2025-05-14,10800.82,EUR,BP-006,paid,30
RE-2025-1059,2025-04-13,2025-05-13,2025-05-19,10068.18,EUR,BP-001,paid,30
RE-2025-1060,2025-05-10,2025-05-24,2025-05-20,13464.05,EUR,BP-002,paid,14
RE-2025-1061,2025-04-18,2025-05-18,2025-05-21,13376.09,EUR,BP-003,paid,30
RE-2025-1062,2025-04-29,2025-05-13,2025-05-26,10025.49,EUR,BP-004,paid,14
RE-2025-1063,2025-04-23,2025-05-23,2025-05-27,12110.91,EUR,BP-005,paid,30
RE-2025-1064,2025-05-03,2025-06-02,2025-05-28,11503.31,EUR,BP-006,paid,30
RE-2025-1065,2025-04-30,2025-05-30,2025-06-02,10990.15,EUR,BP-001,paid,30
RE-2025-1066,2025-05-23,2025-06-06,2025-06-03,12349.78,EUR,BP-002,paid,14
RE-2025-1067,2025-05-04,2025-06-03,2025-06-04,11312.00,EUR,BP-003,paid,30
RE-2025-1068,2025-05-21,2025-06-04,2025-06-09,14380.37,EUR,BP-004,paid,14
RE-2025-1069,2025-05-05,2025-06-04,2025-06-10,7780.00,EUR,BP-005,paid,30
RE-2025-1070,2025-05-14,2025-06-13,2025-06-11,13606.26,EUR,BP-006,paid,30
RE-2025-1071,2025-05-11,2025-06-10,2025-06-16,11629.63,EUR,BP-001,paid,30
RE-2025-1072,2025-06-05,2025-06-19,2025-06-17,12065.42,EUR,BP-002,paid,14
RE-2025-1073,2025-05-19,2025-06-18,2025-06-18,9161.34,EUR,BP-003,paid,30
RE-2025-1074,2025-05-27,2025-06-10,2025-06-23,12645.42,EUR,BP-004,paid,14
RE-2025-1075,2025-05-16,2025-06-15,2025-06-24,12357.94,EUR,BP-005,paid,30
RE-2025-1076,2025-05-29,2025-06-28,2025-06-25,9187.30,EUR,BP-006,paid,30
RE-2025-1077,2025-05-28,2025-06-27,2025-06-30,13597.66,EUR,BP-001,paid,30
RE-2025-1078,2025-06-18,2025-07-02,2025-07-01,12733.26,EUR,BP-002,paid,14
RE-2025-1079,2025-05-28,2025-06-27,2025-07-02,9314.41,EUR,BP-003,paid,30
RE-2025-1080,2025-06-19,2025-07-03,2025-07-07,9170.99,EUR,BP-004,paid,14
RE-2025-1081,2025-05-28,2025-06-27,2025-07-08,16290.77,EUR,BP-005,paid,30
RE-2025-1082,2025-06-13,2025-07-13,2025-07-09,11765.39,EUR,BP-006,paid,30
RE-2025-1083,2025-06-08,2025-07-08,2025-07-14,11920.37,EUR,BP-001,paid,30
RE-2025-1084,2025-07-05,2025-07-19,2025-07-15,9507.08,EUR,BP-002,paid,14
RE-2025-1085,2025-06-13,2025-07-13,2025-07-16,13219.83,EUR,BP-003,paid,30
RE-2025-1086,2025-06-25,2025-07-09,2025-07-21,13099.46,EUR,BP-004,paid,14
RE-2025-1087,2025-06-18,2025-07-18,2025-07-22,10276.60,EUR,BP-005,paid,30
RE-2025-1088,2025-06-28,2025-07-28,2025-07-23,13051.10,EUR,BP-006,paid,30
RE-2025-1089,2025-06-25,2025-07-25,2025-07-28,14235.12,EUR,BP-001,paid,30
RE-2025-1090,2025-07-18,2025-08-01,2025-07-29,11037.42,EUR,BP-002,paid,14
RE-2025-1091,2025-06-28,2025-07-28,2025-07-30,13058.26,EUR,BP-003,paid,30
RE-2025-1092,2025-07-17,2025-07-31,2025-08-04,8931.33,EUR,BP-004,paid,14
RE-2025-1093,2025-06-30,2025-07-30,2025-08-05,12704.03,EUR,BP-005,paid,30
RE-2025-1094,2025-07-09,2025-08-08,2025-08-06,14196.55,EUR,BP-006,paid,30
RE-2025-1095,2025-07-06,2025-08-05,2025-08-11,12741.47,EUR,BP-001,paid,30
RE-2025-1096,2025-07-31,2025-08-14,2025-08-12,16395.00,EUR,BP-002,paid,14
RE-2025-1097,2025-07-14,2025-08-13,2025-08-13,8745.43,EUR,BP-003,paid,30
RE-2025-1098,2025-07-23,2025-08-06,2025-08-18,17621.95,EUR,BP-004,paid,14
RE-2025-1099,2025-07-12,2025-08-11,2025-08-19,10944.36,EUR,BP-005,paid,30
RE-2025-1100,2025-07-24,2025-08-23,2025-08-20,11470.83,EUR,BP-006,paid,30
RE-2025-1101,2025-07-23,2025-08-22,2025-08-25,12114.36,EUR,BP-001,paid,30
RE-2025-1102,2025-08-13,2025-08-27,2025-08-26,15207.06,EUR,BP-002,paid,14
RE-2025-1103,2025-07-23,2025-08-22,2025-08-27,14968.66,EUR,BP-003,paid,30
RE-2025-1104,2025-08-14,2025-08-28,2025-09-01,12368.77,EUR,BP-004,paid,14
RE-2025-1105,2025-07-23,2025-08-22,2025-09-02,14102.49,EUR,BP-005,paid,30
RE-2025-1106,2025-08-08,2025-09-07,2025-09-03,13228.99,EUR,BP-006,paid,30
RE-2025-1107,2025-08-04,2025-09-03,2025-09-08,13870.34,EUR,BP-001,paid,30
RE-2025-1108,2025-08-30,2025-09-13,2025-09-09,14785.99,EUR,BP-002,paid,14
RE-2025-1109,2025-08-07,2025-09-06,2025-09-10,13351.29,EUR,BP-003,paid,30
RE-2025-1110,2025-08-20,2025-09-03,2025-09-15,15290.84,EUR,BP-004,paid,14
RE-2025-1111,2025-08-14,2025-09-13,2025-09-16,15508.93,EUR,BP-005,paid,30
RE-2025-1112,2025-08-22,2025-09-21,2025-09-17,13577.14,EUR,BP-006,paid,30
RE-2025-1113,2025-08-21,2025-09-20,2025-09-22,11840.90,EUR,BP-001,paid,30
RE-2025-1114,2025-09-12,2025-09-26,2025-09-23,11313.26,EUR,BP-002,paid,14
RE-2025-1115,2025-08-23,2025-09-22,2025-09-24,18382.65,EUR,BP-003,paid,30
RE-2025-1116,2025-08-26,2025-09-09,2025-09-29,17174.35,EUR,BP-004,paid,14
RE-2025-1117,2025-08-25,2025-09-24,2025-09-30,15625.85,EUR,BP-005,paid,30
RE-2025-1118,2025-09-02,2025-10-02,2025-10-01,11080.97,EUR,BP-006,paid,30
RE-2025-1119,2025-09-01,2025-10-01,2025-10-06,18532.32,EUR,BP-001,paid,30
RE-2025-1120,2025-09-25,2025-10-09,2025-10-07,16293.88,EUR,BP-002,paid,14
RE-2025-1121,2025-09-07,2025-10-07,2025-10-08,11418.83,EUR,BP-003,paid,30
RE-2025-1122,2025-09-17,2025-10-01,2025-10-13,12479.42,EUR,BP-004,paid,14
RE-2025-1123,2025-09-06,2025-10-06,2025-10-14,21323.86,EUR,BP-005,paid,30
RE-2025-1124,2025-09-17,2025-10-17,2025-10-15,14808.39,EUR,BP-006,paid,30
RE-2025-1125,2025-09-18,2025-10-18,2025-10-20,12870.34,EUR,BP-001,paid,30
RE-2025-1126,2025-10-08,2025-10-22,2025-10-21,19208.36,EUR,BP-002,paid,14
RE-2025-1127,2025-09-23,2025-10-23,2025-10-22,13243.21,EUR,BP-003,paid,30
RE-2025-1128,2025-09-23,2025-10-07,2025-10-27,17973.09,EUR,BP-004,paid,14
RE-2025-1129,2025-09-17,2025-10-17,2025-10-28,12910.01,EUR,BP-005,paid,30
RE-2025-1130,2025-10-02,2025-11-01,2025-10-29,16680.28,EUR,BP-006,paid,30
RE-2025-1131,2025-09-29,2025-10-29,2025-11-03,19310.47,EUR,BP-001,paid,30
RE-2025-1132,2025-10-21,2025-11-04,2025-11-04,13885.70,EUR,BP-002,paid,14
RE-2025-1133,2025-10-02,2025-11-01,2025-11-05,16567.38,EUR,BP-003,paid,30
RE-2025-1134,2025-10-16,2025-10-30,2025-11-10,11915.88,EUR,BP-004,paid,14
RE-2025-1135,2025-10-09,2025-11-08,2025-11-11,16102.63,EUR,BP-005,paid,30
RE-2025-1136,2025-10-17,2025-11-16,2025-11-12,18043.48,EUR,BP-006,paid,30
RE-2025-1137,2025-10-16,2025-11-15,2025-11-17,13612.05,EUR,BP-001,paid,30
RE-2025-1138,2025-11-07,2025-11-21,2025-11-18,16693.33,EUR,BP-002,paid,14
RE-2025-1139,2025-10-18,2025-11-17,2025-11-19,17778.09,EUR,BP-003,paid,30
RE-2025-1140,2025-10-22,2025-11-05,2025-11-24,23407.81,EUR,BP-004,paid,14
RE-2025-1141,2025-10-20,2025-11-19,2025-11-25,13026.72,EUR,BP-005,paid,30
RE-2025-1142,2025-10-28,2025-11-27,2025-11-26,13591.37,EUR,BP-006,paid,30
RE-2025-1143,2025-10-27,2025-11-26,2025-12-01,15704.84,EUR,BP-001,paid,30
RE-2025-1144,2025-11-20,2025-12-04,2025-12-02,18331.67,EUR,BP-002,paid,14
RE-2025-1145,2025-11-02,2025-12-02,2025-12-03,17838.11,EUR,BP-003,paid,30
RE-2025-1146,2025-11-13,2025-11-27,2025-12-08,15600.11,EUR,BP-004,paid,14
RE-2025-1147,2025-11-01,2025-12-01,2025-12-09,16667.87,EUR,BP-005,paid,30
RE-2025-1148,2025-11-12,2025-12-12,2025-12-10,15400.95,EUR,BP-006,paid,30
RE-2025-1149,2025-11-13,2025-12-13,2025-12-15,17008.81,EUR,BP-001,paid,30
RE-2025-1150,2025-12-03,2025-12-17,2025-12-16,17104.34,EUR,BP-002,paid,14
RE-2025-1151,2025-11-17,2025-12-17,2025-12-17,15184.64,EUR,BP-003,paid,30
RE-2025-1152,2025-11-19,2025-12-03,2025-12-22,18214.66,EUR,BP-004,paid,14
RE-2025-1153,2025-11-13,2025-12-13,2025-12-23,17525.14,EUR,BP-005,paid,30
RE-2025-1154,2025-11-27,2025-12-27,2025-12-24,15070.41,EUR,BP-006,paid,30
RE-2025-1155,2025-11-24,2025-12-24,2025-12-29,13853.26,EUR,BP-001,paid,30
RE-2025-1156,2025-12-16,2025-12-30,2025-12-30,12025.78,EUR,BP-002,paid,14
RE-2025-1157,2025-11-27,2025-12-27,2025-12-31,20430.29,EUR,BP-003,paid,30
RE-2026-0031,2026-05-04,2026-06-03,2026-06-01,15000.00,EUR,BP-001,paid,30
RE-2026-0032,2026-05-18,2026-06-17,,7400.00,EUR,BP-004,open,30
RE-2026-0033,2026-05-11,2026-06-10,2026-06-08,8900.00,EUR,BP-005,paid,30
RE-2026-0035,2026-06-05,2026-07-05,,11500.00,EUR,BP-001,open,30
RE-2026-0036,2026-06-12,2026-07-12,,6800.00,EUR,BP-006,open,30
RE-2026-0037,2026-06-22,2026-07-22,,4100.00,EUR,BP-004,open,30
RE-2026-0038,2026-06-01,2026-07-31,2026-06-26,9200.00,EUR,BP-007,paid,60
RE-2026-0039,2026-06-08,2026-07-08,2026-07-03,4500.00,EUR,BP-003,paid,30
RE-2026-0040,2026-08-07,2026-08-28,,8800.00,EUR,BP-002,open,21
RE-2026-0041,2026-07-13,2026-09-04,,16500.00,EUR,BP-001,open,53
RE-2026-0042,2026-07-20,2026-09-11,,24000.00,EUR,BP-005,open,53
RE-2026-0043,2026-07-27,2026-09-18,,5600.00,EUR,BP-006,open,53
RE-2026-0044,2026-08-07,2026-09-25,,3900.00,EUR,BP-004,open,49
RE-2026-0045,2026-07-06,2026-07-20,2026-07-17,6300.00,EUR,BP-002,paid,14
RE-2026-0046,2026-07-30,2026-10-02,,7200.00,EUR,BP-003,open,64
RE-2026-0047,2026-07-24,2026-10-23,,12400.00,EUR,BP-007,open,91
RE-2026-0048,2026-07-15,2026-10-30,,18000.00,EUR,BP-005,open,107
RE-2026-0049,2026-07-22,2026-10-16,,9600.00,EUR,BP-001,open,86
RE-2026-0050,2026-07-20,2026-09-11,,24000.00,USD,BP-005,open,53
RE-2026-0051,2026-07-23,2026-08-22,,12000.00,GBP,BP-001,open,30
RE-2026-0052,2026-07-27,2026-08-26,,9500.00,CHF,BP-004,open,30
RE-2026-1001,2025-12-04,2026-01-03,2026-01-05,15304.98,EUR,BP-003,paid,30
RE-2026-1002,2025-12-17,2025-12-31,2026-01-06,12839.53,EUR,BP-004,paid,14
RE-2026-1003,2025-12-03,2026-01-02,2026-01-07,19465.54,EUR,BP-005,paid,30
RE-2026-1004,2025-12-17,2026-01-16,2026-01-12,16501.16,EUR,BP-006,paid,30
RE-2026-1005,2025-11-15,2026-01-14,2026-01-13,13523.21,EUR,BP-007,paid,60
RE-2026-1006,2025-12-10,2026-01-09,2026-01-14,18762.19,EUR,BP-001,paid,30
RE-2026-1007,2026-01-05,2026-01-19,2026-01-19,13399.76,EUR,BP-002,paid,14
RE-2026-1008,2025-12-20,2026-01-19,2026-01-20,21922.52,EUR,BP-003,paid,30
RE-2026-1009,2026-01-03,2026-01-17,2026-01-21,14513.83,EUR,BP-004,paid,14
RE-2026-1010,2025-12-18,2026-01-17,2026-01-26,13371.10,EUR,BP-005,paid,30
RE-2026-1011,2025-12-31,2026-01-30,2026-01-27,19119.47,EUR,BP-006,paid,30
RE-2026-1012,2025-11-29,2026-01-28,2026-01-28,12626.15,EUR,BP-007,paid,60
RE-2026-1013,2025-12-30,2026-01-29,2026-02-02,18359.18,EUR,BP-001,paid,30
RE-2026-1014,2026-01-22,2026-02-05,2026-02-03,11914.25,EUR,BP-002,paid,14
RE-2026-1015,2026-01-01,2026-01-31,2026-02-04,15726.45,EUR,BP-003,paid,30
RE-2026-1016,2026-01-19,2026-02-02,2026-02-09,19037.42,EUR,BP-004,paid,14
RE-2026-1017,2026-01-02,2026-02-01,2026-02-10,12574.92,EUR,BP-005,paid,30
RE-2026-1018,2026-01-16,2026-02-15,2026-02-11,15157.52,EUR,BP-006,paid,30
RE-2026-1019,2025-12-15,2026-02-13,2026-02-16,11341.00,EUR,BP-007,paid,60
RE-2026-1020,2026-01-12,2026-02-11,2026-02-17,14466.81,EUR,BP-001,paid,30
RE-2026-1021,2026-02-06,2026-02-20,2026-02-18,16262.86,EUR,BP-002,paid,14
RE-2026-1022,2026-01-21,2026-02-20,2026-02-23,12571.77,EUR,BP-003,paid,30
RE-2026-1023,2026-01-22,2026-02-05,2026-02-24,14618.66,EUR,BP-004,paid,14
RE-2026-1024,2026-01-15,2026-02-14,2026-02-25,15547.94,EUR,BP-005,paid,30
RE-2026-1025,2026-02-03,2026-03-05,2026-03-02,13560.10,EUR,BP-006,paid,30
RE-2026-1026,2026-01-04,2026-03-05,2026-03-03,14757.21,EUR,BP-007,paid,60
RE-2026-1027,2026-01-30,2026-03-01,2026-03-04,15002.91,EUR,BP-001,paid,30
RE-2026-1028,2026-02-26,2026-03-12,2026-03-09,14133.50,EUR,BP-002,paid,14
RE-2026-1029,2026-02-08,2026-03-10,2026-03-10,15158.30,EUR,BP-003,paid,30
RE-2026-1030,2026-02-10,2026-02-24,2026-03-11,14535.38,EUR,BP-004,paid,14
RE-2026-1031,2026-02-03,2026-03-05,2026-03-16,13600.90,EUR,BP-005,paid,30
RE-2026-1032,2026-02-19,2026-03-21,2026-03-17,13498.87,EUR,BP-006,paid,30
RE-2026-1033,2026-01-19,2026-03-20,2026-03-18,12241.81,EUR,BP-007,paid,60
RE-2026-1034,2026-02-16,2026-03-18,2026-03-23,14427.45,EUR,BP-001,paid,30
RE-2026-1035,2026-03-12,2026-03-26,2026-03-24,13595.35,EUR,BP-002,paid,14
RE-2026-1036,2026-02-21,2026-03-23,2026-03-25,11824.43,EUR,BP-003,paid,30
RE-2026-1037,2026-03-06,2026-03-20,2026-03-30,15087.68,EUR,BP-004,paid,14
RE-2026-1038,2026-02-21,2026-03-23,2026-03-31,13698.44,EUR,BP-005,paid,30
RE-2026-1039,2026-03-04,2026-04-03,2026-04-01,11532.80,EUR,BP-006,paid,30
RE-2026-1040,2026-02-06,2026-04-07,2026-04-06,9972.15,EUR,BP-007,paid,60
RE-2026-1041,2026-03-03,2026-04-02,2026-04-07,16920.97,EUR,BP-001,paid,30
RE-2026-1042,2026-03-28,2026-04-11,2026-04-08,13879.69,EUR,BP-002,paid,14
RE-2026-1043,2026-03-10,2026-04-09,2026-04-13,12378.62,EUR,BP-003,paid,30
RE-2026-1044,2026-03-14,2026-03-28,2026-04-14,9459.95,EUR,BP-004,paid,14
RE-2026-1045,2026-03-08,2026-04-07,2026-04-15,14862.92,EUR,BP-005,paid,30
RE-2026-1046,2026-03-23,2026-04-22,2026-04-20,13154.78,EUR,BP-006,paid,30
RE-2026-1047,2026-02-16,2026-04-17,2026-04-21,9961.04,EUR,BP-007,paid,60
RE-2026-1048,2026-03-16,2026-04-15,2026-04-22,14142.75,EUR,BP-001,paid,30
RE-2026-1049,2026-04-15,2026-04-29,2026-04-27,8226.81,EUR,BP-002,paid,14
