invoice_id,issued_date,due_date,paid_date,amount,currency,supplier_id,status,payment_terms_days,cash_discount_percent,cash_discount_days
EK-2025-1084,2025-06-16,2025-07-16,2025-07-15,9568.31,EUR,SUP-003,paid,30,,
EK-2025-1085,2025-06-18,2025-07-18,2025-07-16,9538.26,EUR,SUP-004,paid,30,,
EK-2025-1086,2025-06-21,2025-07-21,2025-07-21,12668.96,EUR,SUP-005,paid,30,2,10
EK-2025-1087,2025-06-22,2025-07-22,2025-07-22,10147.59,EUR,SUP-001,paid,30,2,10
EK-2025-1088,2025-06-24,2025-07-24,2025-07-23,9603.62,EUR,SUP-002,paid,30,,
EK-2025-1089,2025-06-29,2025-07-29,2025-07-28,8658.22,EUR,SUP-003,paid,30,,
EK-2025-1090,2025-06-29,2025-07-29,2025-07-29,13337.17,EUR,SUP-004,paid,30,,
EK-2025-1091,2025-06-29,2025-07-29,2025-07-30,12119.03,EUR,SUP-005,paid,30,2,10
EK-2025-1092,2025-07-07,2025-08-06,2025-08-04,8933.37,EUR,SUP-001,paid,30,2,10
EK-2025-1093,2025-07-05,2025-08-04,2025-08-05,12215.12,EUR,SUP-002,paid,30,,
EK-2025-1094,2025-07-08,2025-08-07,2025-08-06,10741.91,EUR,SUP-003,paid,30,,
EK-2025-1095,2025-07-15,2025-08-14,2025-08-11,12433.69,EUR,SUP-004,paid,30,,
EK-2025-1096,2025-07-16,2025-08-15,2025-08-12,7925.68,EUR,SUP-005,paid,30,2,10
EK-2025-1097,2025-07-14,2025-08-13,2025-08-13,13355.52,EUR,SUP-001,paid,30,2,10
EK-2025-1098,2025-07-19,2025-08-18,2025-08-18,13526.89,EUR,SUP-002,paid,30,,
EK-2025-1099,2025-07-22,2025-08-21,2025-08-19,8795.55,EUR,SUP-003,paid,30,,
EK-2025-1100,2025-07-23,2025-08-22,2025-08-20,13310.61,EUR,SUP-004,paid,30,,
EK-2025-1101,2025-07-27,2025-08-26,2025-08-25,12286.48,EUR,SUP-005,paid,30,2,10
EK-2025-1102,2025-07-29,2025-08-28,2025-08-26,14939.67,EUR,SUP-001,paid,30,2,10
EK-2025-1103,2025-07-29,2025-08-28,2025-08-27,10412.02,EUR,SUP-002,paid,30,,
EK-2025-1104,2025-08-04,2025-09-03,2025-09-01,12203.17,EUR,SUP-003,paid,30,,
EK-2025-1105,2025-08-04,2025-09-03,2025-09-02,13680.08,EUR,SUP-004,paid,30,,
EK-2025-1106,2025-08-03,2025-09-02,2025-09-03,9449.97,EUR,SUP-005,paid,30,2,10
EK-2025-1107,2025-08-12,2025-09-11,2025-09-08,13440.15,EUR,SUP-001,paid,30,2,10
EK-2025-1108,2025-08-11,2025-09-10,2025-09-09,14203.31,EUR,SUP-002,paid,30,,
EK-2025-1109,2025-08-13,2025-09-12,2025-09-10,9743.32,EUR,SUP-003,paid,30,,
EK-2025-1110,2025-08-16,2025-09-15,2025-09-15,11700.87,EUR,SUP-004,paid,30,,
EK-2025-1111,2025-08-17,2025-09-16,2025-09-16,11940.32,EUR,SUP-005,paid,30,2,10
EK-2025-1112,2025-08-18,2025-09-17,2025-09-17,15854.26,EUR,SUP-001,paid,30,2,10
EK-2025-1113,2025-08-24,2025-09-23,2025-09-22,11843.85,EUR,SUP-002,paid,30,,
EK-2025-1114,2025-08-24,2025-09-23,2025-09-23,11330.75,EUR,SUP-003,paid,30,,
EK-2025-1115,2025-08-28,2025-09-27,2025-09-24,13793.16,EUR,SUP-004,paid,30,,
EK-2025-1116,2025-09-01,2025-10-01,2025-09-29,13207.59,EUR,SUP-005,paid,30,2,10
EK-2025-1117,2025-08-30,2025-09-29,2025-09-30,12090.79,EUR,SUP-001,paid,30,2,10
EK-2025-1118,2025-09-02,2025-10-02,2025-10-01,13755.86,EUR,SUP-002,paid,30,,
EK-2025-1119,2025-09-09,2025-10-09,2025-10-06,14482.03,EUR,SUP-003,paid,30,,
EK-2025-1120,2025-09-10,2025-10-10,2025-10-07,12839.70,EUR,SUP-004,paid,30,,
EK-2025-1121,2025-09-08,2025-10-08,2025-10-08,13836.35,EUR,SUP-005,paid,30,2,10
EK-2025-1122,2025-09-13,2025-10-13,2025-10-13,12704.71,EUR,SUP-001,paid,30,2,10
EK-2025-1123,2025-09-16,2025-10-16,2025-10-14,20406.55,EUR,SUP-002,paid,30,,
EK-2025-1124,2025-09-17,2025-10-17,2025-10-15,10153.12,EUR,SUP-003,paid,30,,
EK-2025-1125,2025-09-21,2025-10-21,2025-10-20,16268.87,EUR,SUP-004,paid,30,,
EK-2025-1126,2025-09-23,2025-10-23,2025-10-21,12116.27,EUR,SUP-005,paid,30,2,10
EK-2025-1127,2025-09-23,2025-10-23,2025-10-22,11951.36,EUR,SUP-001,paid,30,2,10
EK-2025-1128,2025-09-29,2025-10-29,2025-10-27,17403.06,EUR,SUP-002,paid,30,,
EK-2025-1129,2025-09-29,2025-10-29,2025-10-28,12900.32,EUR,SUP-003,paid,30,,
EK-2025-1130,2025-09-28,2025-10-28,2025-10-29,12028.03,EUR,SUP-004,paid,30,,
EK-2025-1131,2025-10-07,2025-11-06,2025-11-03,11736.50,EUR,SUP-005,paid,30,2,10
EK-2025-1132,2025-10-06,2025-11-05,2025-11-04,17194.54,EUR,SUP-001,paid,30,2,10
EK-2025-1133,2025-10-08,2025-11-07,2025-11-05,15358.52,EUR,SUP-002,paid,30,,
EK-2025-1134,2025-10-11,2025-11-10,2025-11-10,11954.63,EUR,SUP-003,paid,30,,
EK-2025-1135,2025-10-12,2025-11-11,2025-11-11,15583.67,EUR,SUP-004,paid,30,,
EK-2025-1136,2025-10-13,2025-11-12,2025-11-12,13456.87,EUR,SUP-005,paid,30,2,10
EK-2025-1137,2025-10-19,2025-11-18,2025-11-17,13339.99,EUR,SUP-001,paid,30,2,10
EK-2025-1138,2025-10-19,2025-11-18,2025-11-18,16005.78,EUR,SUP-002,paid,30,,
EK-2025-1139,2025-10-23,2025-11-22,2025-11-19,13448.52,EUR,SUP-003,paid,30,,
EK-2025-1140,2025-10-27,2025-11-26,2025-11-24,17681.37,EUR,SUP-004,paid,30,,
EK-2025-1141,2025-10-25,2025-11-24,2025-11-25,10464.08,EUR,SUP-005,paid,30,2,10
EK-2025-1142,2025-10-28,2025-11-27,2025-11-26,16377.60,EUR,SUP-001,paid,30,2,10
EK-2025-1143,2025-11-04,2025-12-04,2025-12-01,12284.71,EUR,SUP-002,paid,30,,
EK-2025-1144,2025-11-05,2025-12-05,2025-12-02,13992.33,EUR,SUP-003,paid,30,,
EK-2025-1145,2025-11-02,2025-12-02,2025-12-03,19891.37,EUR,SUP-004,paid,30,,
EK-2025-1146,2025-11-08,2025-12-08,2025-12-08,15423.39,EUR,SUP-005,paid,30,2,10
EK-2025-1147,2025-11-12,2025-12-12,2025-12-09,16300.69,EUR,SUP-001,paid,30,2,10
EK-2025-1148,2025-11-12,2025-12-12,2025-12-10,10701.27,EUR,SUP-002,paid,30,,
EK-2025-1149,2025-11-16,2025-12-16,2025-12-15,16503.74,EUR,SUP-003,paid,30,,
EK-2025-1150,2025-11-18,2025-12-18,2025-12-16,16534.41,EUR,SUP-004,paid,30,,
EK-2025-1151,2025-11-17,2025-12-17,2025-12-17,10836.88,EUR,SUP-005,paid,30,2,10
EK-2025-1152,2025-11-24,2025-12-24,2025-12-22,10801.93,EUR,SUP-001,paid,30,2,10
EK-2025-1153,2025-11-25,2025-12-25,2025-12-23,20802.54,EUR,SUP-002,paid,30,,
EK-2025-1154,2025-11-27,2025-12-27,2025-12-24,13616.61,EUR,SUP-003,paid,30,,
EK-2025-1155,2025-12-02,2026-01-01,2025-12-29,13896.07,EUR,SUP-004,paid,30,,
EK-2025-1156,2025-12-01,2025-12-31,2025-12-30,12233.16,EUR,SUP-005,paid,30,2,10
EK-2025-1157,2025-12-02,2026-01-01,2025-12-31,15086.07,EUR,SUP-001,paid,30,2,10
EK-2026-0091,2026-05-04,2026-06-03,2026-05-29,8500.00,EUR,SUP-001,paid,30,2,10
EK-2026-0092,2026-06-01,2026-07-01,,3100.00,EUR,SUP-002,open,30,,
EK-2026-0093,2026-06-10,2026-07-10,,1200.00,EUR,SUP-003,open,30,,
EK-2026-0094,2026-07-06,2026-08-05,,5800.00,EUR,SUP-001,open,30,2,10
EK-2026-0095,2026-07-08,2026-08-07,,2400.00,EUR,SUP-004,open,30,,
EK-2026-0096,2026-07-13,2026-08-12,,7200.00,EUR,SUP-002,open,30,,
EK-2026-0097,2026-07-15,2026-08-14,,980.00,EUR,SUP-003,open,30,,
EK-2026-0098,2026-06-08,2026-07-08,2026-07-02,3800.00,EUR,SUP-001,paid,30,2,10
EK-2026-0099,2026-07-20,2026-08-19,,6500.00,EUR,SUP-005,open,30,2,10
EK-2026-0100,2026-07-22,2026-08-21,,4100.00,EUR,SUP-002,open,30,,
EK-2026-0101,2026-07-24,2026-08-23,,9300.00,EUR,SUP-001,open,30,2,10
EK-2026-0102,2026-07-27,2026-08-26,,2200.00,EUR,SUP-004,open,30,,
EK-2026-0103,2026-07-29,2026-08-28,,3400.00,EUR,SUP-005,open,30,2,10
EK-2026-1001,2025-12-06,2026-01-05,2026-01-05,14994.33,EUR,SUP-002,paid,30,,
EK-2026-1002,2025-12-08,2026-01-07,2026-01-06,12774.38,EUR,SUP-003,paid,30,,
EK-2026-1003,2025-12-08,2026-01-07,2026-01-07,14604.24,EUR,SUP-004,paid,30,,
EK-2026-1004,2025-12-14,2026-01-13,2026-01-12,15911.80,EUR,SUP-005,paid,30,2,10
EK-2026-1005,2025-12-14,2026-01-13,2026-01-13,13242.73,EUR,SUP-001,paid,30,2,10
EK-2026-1006,2025-12-17,2026-01-16,2026-01-14,14265.51,EUR,SUP-002,paid,30,,
EK-2026-1007,2025-12-22,2026-01-21,2026-01-19,10759.40,EUR,SUP-003,paid,30,,
EK-2026-1008,2025-12-21,2026-01-20,2026-01-20,16575.80,EUR,SUP-004,paid,30,,
EK-2026-1009,2025-12-23,2026-01-22,2026-01-21,17018.94,EUR,SUP-005,paid,30,2,10
EK-2026-1010,2025-12-26,2026-01-25,2026-01-26,13256.31,EUR,SUP-001,paid,30,2,10
EK-2026-1011,2025-12-27,2026-01-26,2026-01-27,8883.14,EUR,SUP-002,paid,30,,
EK-2026-1012,2025-12-28,2026-01-27,2026-01-28,18014.43,EUR,SUP-003,paid,30,,
EK-2026-1013,2026-01-03,2026-02-02,2026-02-02,17797.05,EUR,SUP-004,paid,30,,
EK-2026-1014,2026-01-07,2026-02-06,2026-02-03,12084.12,EUR,SUP-005,paid,30,2,10
EK-2026-1015,2026-01-07,2026-02-06,2026-02-04,11058.73,EUR,SUP-001,paid,30,2,10
EK-2026-1016,2026-01-11,2026-02-10,2026-02-09,11579.10,EUR,SUP-002,paid,30,,
EK-2026-1017,2026-01-13,2026-02-12,2026-02-10,16026.65,EUR,SUP-003,paid,30,,
EK-2026-1018,2026-01-12,2026-02-11,2026-02-11,14019.43,EUR,SUP-004,paid,30,,
EK-2026-1019,2026-01-19,2026-02-18,2026-02-16,11413.55,EUR,SUP-005,paid,30,2,10
EK-2026-1020,2026-01-20,2026-02-19,2026-02-17,14108.37,EUR,SUP-001,paid,30,2,10
EK-2026-1021,2026-01-22,2026-02-21,2026-02-18,11920.98,EUR,SUP-002,paid,30,,
EK-2026-1022,2026-01-23,2026-02-22,2026-02-23,12344.48,EUR,SUP-003,paid,30,,
EK-2026-1023,2026-01-26,2026-02-25,2026-02-24,14100.84,EUR,SUP-004,paid,30,,
EK-2026-1024,2026-01-27,2026-02-26,2026-02-25,11591.83,EUR,SUP-005,paid,30,2,10
EK-2026-1025,2026-01-31,2026-03-02,2026-03-02,16082.68,EUR,SUP-001,paid,30,2,10
EK-2026-1026,2026-02-02,2026-03-04,2026-03-03,8541.18,EUR,SUP-002,paid,30,,
EK-2026-1027,2026-02-02,2026-03-04,2026-03-04,13931.13,EUR,SUP-003,paid,30,,
EK-2026-1028,2026-02-08,2026-03-10,2026-03-09,10834.56,EUR,SUP-004,paid,30,,
EK-2026-1029,2026-02-08,2026-03-10,2026-03-10,11452.52,EUR,SUP-005,paid,30,2,10
EK-2026-1030,2026-02-11,2026-03-13,2026-03-11,16719.11,EUR,SUP-001,paid,30,2,10
EK-2026-1031,2026-02-16,2026-03-18,2026-03-16,10563.52,EUR,SUP-002,paid,30,,
EK-2026-1032,2026-02-15,2026-03-17,2026-03-17,10451.48,EUR,SUP-003,paid,30,,
EK-2026-1033,2026-02-17,2026-03-19,2026-03-18,13999.00,EUR,SUP-004,paid,30,,
EK-2026-1034,2026-02-20,2026-03-22,2026-03-23,14017.85,EUR,SUP-005,paid,30,2,10
EK-2026-1035,2026-02-21,2026-03-23,2026-03-24,13240.64,EUR,SUP-001,paid,30,2,10
