partner_id,due_date,paid_date,delay_days
BP-005,2023-04-14,2023-04-24,10
BP-006,2023-04-10,2023-04-08,-2
BP-004,2023-04-17,2023-04-26,9
BP-005,2023-04-18,2023-04-27,9
BP-006,2023-04-19,2023-04-17,-2
BP-001,2023-04-20,2023-04-26,6
BP-002,2023-04-21,2023-04-19,-2
BP-003,2023-04-17,2023-04-16,-1
BP-001,2023-04-24,2023-04-30,6
BP-002,2023-04-25,2023-04-22,-3
BP-003,2023-04-26,2023-04-26,0
BP-004,2023-04-27,2023-05-11,14
BP-005,2023-04-28,2023-05-08,10
BP-006,2023-04-24,2023-04-21,-3
BP-004,2023-05-01,2023-05-13,12
BP-005,2023-05-02,2023-05-13,11
BP-006,2023-05-03,2023-04-29,-4
BP-001,2023-05-04,2023-05-07,3
BP-002,2023-05-05,2023-05-03,-2
BP-003,2023-05-01,2023-05-06,5
BP-001,2023-05-08,2023-05-10,2
BP-002,2023-05-09,2023-05-07,-2
BP-003,2023-05-10,2023-05-10,0
BP-004,2023-05-11,2023-05-27,16
BP-005,2023-05-12,2023-05-21,9
BP-006,2023-05-08,2023-05-04,-4
BP-004,2023-05-15,2023-05-20,5
BP-005,2023-05-16,2023-05-23,7
BP-006,2023-05-17,2023-05-15,-2
BP-001,2023-05-18,2023-05-21,3
BP-002,2023-05-19,2023-05-19,0
BP-003,2023-05-15,2023-05-15,0
BP-001,2023-05-22,2023-05-29,7
BP-002,2023-05-23,2023-05-22,-1
BP-003,2023-05-24,2023-05-23,-1
BP-004,2023-05-25,2023-06-02,8
BP-005,2023-05-26,2023-06-06,11
BP-006,2023-05-22,2023-05-20,-2
BP-004,2023-05-29,2023-06-17,19
BP-005,2023-05-30,2023-06-10,11
BP-006,2023-05-31,2023-05-28,-3
BP-001,2023-06-01,2023-06-06,5
BP-002,2023-06-02,2023-05-31,-2
BP-003,2023-05-29,2023-05-29,0
BP-001,2023-06-05,2023-06-09,4
BP-002,2023-06-06,2023-06-05,-1
BP-003,2023-06-07,2023-06-11,4
BP-004,2023-06-08,2023-06-25,17
BP-005,2023-06-09,2023-06-15,6
BP-006,2023-06-05,2023-06-04,-1
BP-004,2023-06-12,2023-06-23,11
BP-005,2023-06-13,2023-06-22,9
BP-006,2023-06-14,2023-06-10,-4
BP-001,2023-06-15,2023-06-20,5
BP-002,2023-06-16,2023-06-12,-4
BP-003,2023-06-12,2023-06-12,0
BP-001,2023-06-19,2023-06-25,6
BP-002,2023-06-20,2023-06-17,-3
BP-003,2023-06-21,2023-06-23,2
BP-004,2023-06-22,2023-07-09,17
BP-005,2023-06-23,2023-06-30,7
BP-006,2023-06-19,2023-06-15,-4
BP-004,2023-06-26,2023-07-14,18
BP-005,2023-06-27,2023-07-06,9
BP-006,2023-06-28,2023-06-23,-5
BP-001,2023-06-29,2023-07-06,7
BP-002,2023-06-30,2023-06-26,-4
BP-003,2023-06-26,2023-06-27,1
BP-001,2023-07-03,2023-07-04,1
BP-002,2023-07-04,2023-07-01,-3
BP-003,2023-07-05,2023-07-04,-1
BP-004,2023-07-06,2023-07-22,16
BP-005,2023-07-07,2023-07-11,4
BP-006,2023-07-03,2023-06-28,-5
BP-004,2023-07-10,2023-07-23,13
BP-005,2023-07-11,2023-07-21,10
BP-006,2023-07-12,2023-07-10,-2
BP-001,2023-07-13,2023-07-16,3
BP-002,2023-07-14,2023-07-12,-2
BP-003,2023-07-10,2023-07-10,0
BP-001,2023-07-17,2023-07-19,2
BP-002,2023-07-18,2023-07-16,-2
BP-003,2023-07-19,2023-07-21,2
BP-004,2023-07-20,2023-07-25,5
BP-005,2023-07-21,2023-07-24,3
BP-006,2023-07-17,2023-07-14,-3
BP-004,2023-07-24,2023-08-03,10
BP-005,2023-07-25,2023-08-03,9
BP-006,2023-07-26,2023-07-24,-2
BP-001,2023-07-27,2023-07-28,1
BP-002,2023-07-28,2023-07-26,-2
BP-003,2023-07-24,2023-07-24,0
BP-001,2023-07-31,2023-08-06,6
BP-002,2023-08-01,2023-07-29,-3
BP-003,2023-08-02,2023-08-02,0
BP-004,2023-08-03,2023-08-17,14
BP-005,2023-08-04,2023-08-13,9
BP-006,2023-07-31,2023-07-27,-4
BP-004,2023-08-07,2023-08-20,13
BP-005,2023-08-08,2023-08-13,5
BP-006,2023-08-09,2023-08-06,-3
BP-001,2023-08-10,2023-08-15,5
BP-002,2023-08-11,2023-08-11,0
BP-003,2023-08-07,2023-08-12,5
BP-001,2023-08-14,2023-08-17,3
BP-002,2023-08-15,2023-08-12,-3
BP-003,2023-08-16,2023-08-19,3
BP-004,2023-08-17,2023-08-25,8
BP-005,2023-08-18,2023-08-23,5
BP-006,2023-08-14,2023-08-11,-3
BP-004,2023-08-21,2023-09-02,12
BP-005,2023-08-22,2023-08-30,8
BP-006,2023-08-23,2023-08-18,-5
BP-001,2023-08-24,2023-08-28,4
BP-002,2023-08-25,2023-08-22,-3
BP-003,2023-08-21,2023-08-21,0
BP-001,2023-08-28,2023-08-29,1
BP-002,2023-08-29,2023-08-26,-3
BP-003,2023-08-30,2023-09-02,3
BP-004,2023-08-31,2023-09-07,7
BP-005,2023-09-01,2023-09-11,10
BP-006,2023-08-28,2023-08-24,-4
BP-004,2023-09-04,2023-09-23,19
BP-005,2023-09-05,2023-09-13,8
BP-006,2023-09-06,2023-09-04,-2
BP-001,2023-09-07,2023-09-12,5
BP-002,2023-09-08,2023-09-07,-1
BP-003,2023-09-04,2023-09-06,2
BP-001,2023-09-11,2023-09-18,7
BP-002,2023-09-12,2023-09-08,-4
BP-003,2023-09-13,2023-09-15,2
BP-004,2023-09-14,2023-10-01,17
BP-005,2023-09-15,2023-09-23,8
BP-006,2023-09-11,2023-09-07,-4
BP-004,2023-09-18,2023-10-04,16
BP-005,2023-09-19,2023-09-25,6
BP-006,2023-09-20,2023-09-18,-2
BP-001,2023-09-21,2023-09-25,4
BP-002,2023-09-22,2023-09-19,-3
BP-003,2023-09-18,2023-09-20,2
BP-001,2023-09-25,2023-09-28,3
BP-002,2023-09-26,2023-09-26,0
BP-003,2023-09-27,2023-09-28,1
BP-004,2023-09-28,2023-10-04,6
BP-005,2023-09-29,2023-10-11,12
BP-006,2023-09-25,2023-09-21,-4
BP-004,2023-10-02,2023-10-11,9
BP-005,2023-10-03,2023-10-12,9
BP-006,2023-10-04,2023-10-01,-3
BP-001,2023-10-05,2023-10-08,3
BP-002,2023-10-06,2023-10-06,0
BP-003,2023-10-02,2023-10-01,-1
BP-001,2023-10-09,2023-10-13,4
BP-002,2023-10-10,2023-10-06,-4
BP-003,2023-10-11,2023-10-11,0
BP-004,2023-10-12,2023-10-18,6
BP-005,2023-10-13,2023-10-21,8
BP-006,2023-10-09,2023-10-06,-3
BP-004,2023-10-16,2023-10-24,8
BP-005,2023-10-17,2023-10-28,11
BP-006,2023-10-18,2023-10-15,-3
BP-001,2023-10-19,2023-10-23,4
BP-002,2023-10-20,2023-10-18,-2
BP-003,2023-10-16,2023-10-20,4
BP-001,2023-10-23,2023-10-26,3
BP-002,2023-10-24,2023-10-22,-2
BP-003,2023-10-25,2023-10-26,1
BP-004,2023-10-26,2023-11-09,14
BP-005,2023-10-27,2023-10-31,4
BP-006,2023-10-23,2023-10-21,-2
BP-004,2023-10-30,2023-11-18,19
BP-005,2023-10-31,2023-11-03,3
BP-006,2023-11-01,2023-10-28,-4
BP-001,2023-11-02,2023-11-09,7
BP-002,2023-11-03,2023-10-31,-3
BP-003,2023-10-30,2023-11-02,3
BP-001,2023-11-06,2023-11-08,2
BP-002,2023-11-07,2023-11-03,-4
BP-003,2023-11-08,2023-11-10,2
BP-004,2023-11-09,2023-11-20,11
BP-005,2023-11-10,2023-11-14,4
BP-006,2023-11-06,2023-11-04,-2
BP-004,2023-11-13,2023-11-22,9
BP-005,2023-11-14,2023-11-20,6
BP-006,2023-11-15,2023-11-12,-3
BP-001,2023-11-16,2023-11-23,7
BP-002,2023-11-17,2023-11-14,-3
BP-003,2023-11-13,2023-11-15,2
BP-001,2023-11-20,2023-11-26,6
BP-002,2023-11-21,2023-11-17,-4
BP-003,2023-11-22,2023-11-22,0
BP-004,2023-11-23,2023-12-09,16
BP-005,2023-11-24,2023-12-02,8
BP-006,2023-11-20,2023-11-17,-3
BP-004,2023-11-27,2023-12-11,14
BP-005,2023-11-28,2023-12-07,9
BP-006,2023-11-29,2023-11-27,-2
BP-001,2023-11-30,2023-12-04,4
BP-002,2023-12-01,2023-11-28,-3
BP-003,2023-11-27,2023-11-30,3
BP-001,2023-12-04,2023-12-10,6
BP-002,2023-12-05,2023-12-04,-1
BP-003,2023-12-06,2023-12-06,0
BP-004,2023-12-07,2023-12-19,12
BP-005,2023-12-08,2023-12-19,11
BP-006,2023-12-04,2023-12-03,-1
BP-004,2023-12-11,2023-12-16,5
BP-005,2023-12-12,2023-12-14,2
BP-006,2023-12-13,2023-12-11,-2
BP-001,2023-12-14,2023-12-16,2
BP-002,2023-12-15,2023-12-12,-3
BP-003,2023-12-11,2023-12-14,3
BP-001,2023-12-18,2023-12-25,7
BP-002,2023-12-19,2023-12-18,-1
BP-003,2023-12-20,2023-12-25,5
BP-004,2023-12-21,2024-01-07,17
BP-005,2023-12-22,2024-01-02,11
BP-006,2023-12-18,2023-12-15,-3
BP-004,2023-12-25,2023-12-30,5
BP-005,2023-12-26,2024-01-01,6
BP-006,2023-12-27,2023-12-23,-4
BP-001,2023-12-28,2023-12-31,3
BP-002,2023-12-29,2023-12-27,-2
BP-003,2023-12-25,2023-12-28,3
BP-001,2024-01-01,2024-01-06,5
BP-002,2024-01-02,2023-12-31,-2
BP-003,2024-01-03,2024-01-07,4
BP-004,2024-01-04,2024-01-10,6
BP-005,2024-01-05,2024-01-16,11
BP-006,2024-01-01,2023-12-28,-4
BP-004,2024-01-08,2024-01-23,15
BP-005,2024-01-09,2024-01-11,2
BP-006,2024-01-10,2024-01-09,-1
BP-001,2024-01-11,2024-01-17,6
BP-002,2024-01-12,2024-01-11,-1
BP-003,2024-01-08,2024-01-08,0
BP-001,2024-01-15,2024-01-21,6
BP-002,2024-01-16,2024-01-13,-3
BP-003,2024-01-17,2024-01-21,4
BP-004,2024-01-18,2024-01-31,13
BP-005,2024-01-19,2024-01-30,11
BP-006,2024-01-15,2024-01-11,-4
BP-004,2024-01-22,2024-01-31,9
BP-005,2024-01-23,2024-01-26,3
BP-006,2024-01-24,2024-01-19,-5
BP-001,2024-01-25,2024-01-29,4
BP-002,2024-01-26,2024-01-24,-2
BP-003,2024-01-22,2024-01-23,1
BP-001,2024-01-29,2024-02-02,4
BP-002,2024-01-30,2024-01-27,-3
BP-003,2024-01-31,2024-02-04,4
BP-004,2024-02-01,2024-02-10,9
BP-005,2024-02-02,2024-02-13,11
BP-006,2024-01-29,2024-01-26,-3
BP-004,2024-02-05,2024-02-11,6
BP-005,2024-02-06,2024-02-15,9
BP-006,2024-02-07,2024-02-03,-4
BP-001,2024-02-08,2024-02-13,5
BP-002,2024-02-09,2024-02-07,-2
BP-003,2024-02-05,2024-02-10,5
BP-001,2024-02-12,2024-02-17,5
BP-002,2024-02-13,2024-02-09,-4
BP-003,2024-02-14,2024-02-18,4
BP-004,2024-02-15,2024-02-21,6
BP-005,2024-02-16,2024-02-27,11
BP-006,2024-02-12,2024-02-08,-4
BP-004,2024-02-19,2024-03-09,19
BP-005,2024-02-20,2024-03-02,11
BP-006,2024-02-21,2024-02-19,-2
BP-001,2024-02-22,2024-02-24,2
BP-002,2024-02-23,2024-02-22,-1
BP-003,2024-02-19,2024-02-20,1
BP-001,2024-02-26,2024-03-04,7
BP-002,2024-02-27,2024-02-24,-3
BP-003,2024-02-28,2024-02-28,0
BP-004,2024-02-29,2024-03-10,10
BP-005,2024-03-01,2024-03-13,12
BP-006,2024-02-26,2024-02-22,-4
BP-004,2024-03-04,2024-03-09,5
BP-005,2024-03-05,2024-03-17,12
BP-006,2024-03-06,2024-03-04,-2
BP-001,2024-03-07,2024-03-11,4
BP-002,2024-03-08,2024-03-07,-1
BP-003,2024-03-04,2024-03-05,1
BP-001,2024-03-11,2024-03-14,3
BP-002,2024-03-12,2024-03-10,-2
BP-003,2024-03-13,2024-03-17,4
BP-004,2024-03-14,2024-03-28,14
BP-005,2024-03-15,2024-03-25,10
BP-006,2024-03-11,2024-03-07,-4
BP-004,2024-03-18,2024-04-05,18
BP-005,2024-03-19,2024-03-27,8
BP-006,2024-03-20,2024-03-18,-2
BP-001,2024-03-21,2024-03-28,7
BP-002,2024-03-22,2024-03-19,-3
BP-003,2024-03-18,2024-03-21,3
BP-001,2024-03-25,2024-03-28,3
BP-002,2024-03-26,2024-03-24,-2
BP-003,2024-03-27,2024-03-30,3
BP-004,2024-03-28,2024-04-16,19
BP-005,2024-03-29,2024-04-08,10
BP-006,2024-03-25,2024-03-23,-2
BP-004,2024-04-01,2024-04-08,7
BP-005,2024-04-02,2024-04-10,8
BP-006,2024-04-03,2024-03-29,-5
BP-001,2024-04-04,2024-04-06,2
BP-002,2024-04-05,2024-04-02,-3
BP-003,2024-04-01,2024-04-05,4
BP-001,2024-04-08,2024-04-12,4
BP-002,2024-04-09,2024-04-08,-1
BP-003,2024-04-10,2024-04-15,5
BP-004,2024-04-11,2024-04-29,18
BP-005,2024-04-12,2024-04-16,4
BP-006,2024-04-08,2024-04-03,-5
BP-004,2024-04-15,2024-04-24,9
BP-005,2024-04-16,2024-04-27,11
BP-006,2024-04-17,2024-04-15,-2
BP-001,2024-04-18,2024-04-21,3
BP-002,2024-04-19,2024-04-16,-3
BP-003,2024-04-15,2024-04-18,3
BP-001,2024-04-22,2024-04-27,5
BP-002,2024-04-23,2024-04-22,-1
BP-003,2024-04-24,2024-04-27,3
BP-004,2024-04-25,2024-05-09,14
BP-005,2024-04-26,2024-05-03,7
BP-006,2024-04-22,2024-04-20,-2
BP-004,2024-04-29,2024-05-08,9
BP-005,2024-04-30,2024-05-12,12
BP-006,2024-05-01,2024-04-29,-2
BP-001,2024-05-02,2024-05-07,5
BP-002,2024-05-03,2024-05-03,0
BP-003,2024-04-29,2024-05-03,4
BP-001,2024-05-06,2024-05-13,7
BP-002,2024-05-07,2024-05-05,-2
BP-003,2024-05-08,2024-05-13,5
BP-004,2024-05-09,2024-05-24,15
BP-005,2024-05-10,2024-05-16,6
BP-006,2024-05-06,2024-05-02,-4
BP-004,2024-05-13,2024-05-18,5
BP-005,2024-05-14,2024-05-26,12
BP-006,2024-05-15,2024-05-12,-3
BP-001,2024-05-16,2024-05-17,1
BP-002,2024-05-17,2024-05-17,0
BP-003,2024-05-13,2024-05-18,5
BP-001,2024-05-20,2024-05-24,4
BP-002,2024-05-21,2024-05-20,-1
BP-003,2024-05-22,2024-05-22,0
BP-004,2024-05-23,2024-06-06,14
BP-005,2024-05-24,2024-06-02,9
BP-006,2024-05-20,2024-05-19,-1
BP-004,2024-05-27,2024-06-03,7
BP-005,2024-05-28,2024-06-06,9
BP-006,2024-05-29,2024-05-26,-3
BP-001,2024-05-30,2024-06-03,4
BP-002,2024-05-31,2024-05-28,-3
BP-003,2024-05-27,2024-05-26,-1
BP-001,2024-06-03,2024-06-04,1
BP-002,2024-06-04,2024-06-03,-1
BP-003,2024-06-05,2024-06-06,1
BP-004,2024-06-06,2024-06-11,5
BP-005,2024-06-07,2024-06-17,10
BP-006,2024-06-03,2024-05-31,-3
BP-004,2024-06-10,2024-06-22,12
BP-005,2024-06-11,2024-06-18,7
BP-006,2024-06-12,2024-06-11,-1
BP-001,2024-06-13,2024-06-17,4
BP-002,2024-06-14,2024-06-12,-2
BP-003,2024-06-10,2024-06-09,-1
BP-001,2024-06-17,2024-06-20,3
BP-002,2024-06-18,2024-06-15,-3
BP-003,2024-06-19,2024-06-20,1
BP-004,2024-06-20,2024-07-06,16
BP-005,2024-06-21,2024-06-25,4
BP-006,2024-06-17,2024-06-13,-4
BP-004,2024-06-24,2024-07-05,11
BP-005,2024-06-25,2024-07-05,10
BP-006,2024-06-26,2024-06-24,-2
BP-001,2024-06-27,2024-07-02,5
BP-002,2024-06-28,2024-06-27,-1
BP-003,2024-06-24,2024-06-25,1
BP-001,2024-07-01,2024-07-07,6
BP-002,2024-07-02,2024-06-28,-4
BP-003,2024-07-03,2024-07-02,-1
BP-004,2024-07-04,2024-07-12,8
BP-005,2024-07-05,2024-07-15,10
BP-006,2024-07-01,2024-06-29,-2
BP-004,2024-07-08,2024-07-23,15
BP-005,2024-07-09,2024-07-12,3
BP-006,2024-07-10,2024-07-06,-4
BP-001,2024-07-11,2024-07-16,5
BP-002,2024-07-12,2024-07-09,-3
BP-003,2024-07-08,2024-07-10,2
BP-001,2024-07-15,2024-07-17,2
BP-002,2024-07-16,2024-07-13,-3
BP-003,2024-07-17,2024-07-20,3
BP-004,2024-07-18,2024-07-22,4
BP-005,2024-07-19,2024-07-25,6
BP-006,2024-07-15,2024-07-13,-2
BP-004,2024-07-22,2024-08-01,10
BP-005,2024-07-23,2024-07-26,3
BP-006,2024-07-24,2024-07-19,-5
BP-001,2024-07-25,2024-07-28,3
BP-002,2024-07-26,2024-07-22,-4
BP-003,2024-07-22,2024-07-23,1
BP-001,2024-07-29,2024-08-01,3
BP-002,2024-07-30,2024-07-26,-4
BP-003,2024-07-31,2024-08-03,3
BP-004,2024-08-01,2024-08-11,10
BP-005,2024-08-02,2024-08-07,5
BP-006,2024-07-29,2024-07-28,-1
BP-004,2024-08-05,2024-08-10,5
BP-005,2024-08-06,2024-08-17,11
BP-006,2024-08-07,2024-08-05,-2
BP-001,2024-08-08,2024-08-13,5
BP-002,2024-08-09,2024-08-09,0
BP-003,2024-08-05,2024-08-06,1
BP-001,2024-08-12,2024-08-13,1
BP-002,2024-08-13,2024-08-13,0
BP-003,2024-08-14,2024-08-17,3
BP-004,2024-08-15,2024-08-24,9
BP-005,2024-08-16,2024-08-25,9
BP-006,2024-08-12,2024-08-08,-4
BP-004,2024-08-19,2024-08-29,10
BP-005,2024-08-20,2024-08-25,5
BP-006,2024-08-21,2024-08-20,-1
BP-001,2024-08-22,2024-08-24,2
BP-002,2024-08-23,2024-08-19,-4
BP-003,2024-08-19,2024-08-23,4
BP-001,2024-08-26,2024-08-30,4
BP-002,2024-08-27,2024-08-24,-3
BP-003,2024-08-28,2024-09-01,4
BP-004,2024-08-29,2024-09-09,11
BP-005,2024-08-30,2024-09-09,10
BP-006,2024-08-26,2024-08-24,-2
BP-004,2024-09-02,2024-09-09,7
BP-005,2024-09-03,2024-09-06,3
BP-006,2024-09-04,2024-09-01,-3
BP-001,2024-09-05,2024-09-08,3
BP-002,2024-09-06,2024-09-02,-4
BP-003,2024-09-02,2024-09-04,2
BP-001,2024-09-09,2024-09-10,1
BP-002,2024-09-10,2024-09-08,-2
BP-003,2024-09-11,2024-09-10,-1
BP-004,2024-09-12,2024-09-22,10
BP-005,2024-09-13,2024-09-23,10
BP-006,2024-09-09,2024-09-05,-4
BP-004,2024-09-16,2024-09-29,13
BP-005,2024-09-17,2024-09-23,6
BP-006,2024-09-18,2024-09-16,-2
BP-001,2024-09-19,2024-09-24,5
BP-002,2024-09-20,2024-09-18,-2
BP-003,2024-09-16,2024-09-20,4
BP-001,2024-09-23,2024-09-29,6
BP-002,2024-09-24,2024-09-22,-2
BP-003,2024-09-25,2024-09-27,2
BP-004,2024-09-26,2024-10-03,7
BP-005,2024-09-27,2024-10-03,6
BP-006,2024-09-23,2024-09-22,-1
BP-004,2024-09-30,2024-10-15,15
BP-005,2024-10-01,2024-10-13,12
BP-006,2024-10-02,2024-09-29,-3
BP-001,2024-10-03,2024-10-10,7
BP-002,2024-10-04,2024-09-30,-4
BP-003,2024-09-30,2024-10-03,3
BP-001,2024-10-07,2024-10-14,7
BP-002,2024-10-08,2024-10-05,-3
BP-003,2024-10-09,2024-10-13,4
BP-004,2024-10-10,2024-10-16,6
BP-005,2024-10-11,2024-10-23,12
BP-006,2024-10-07,2024-10-03,-4
BP-004,2024-10-14,2024-10-27,13
BP-005,2024-10-15,2024-10-18,3
BP-006,2024-10-16,2024-10-11,-5
BP-001,2024-10-17,2024-10-20,3
BP-002,2024-10-18,2024-10-18,0
BP-003,2024-10-14,2024-10-14,0
BP-001,2024-10-21,2024-10-25,4
BP-002,2024-10-22,2024-10-22,0
BP-003,2024-10-23,2024-10-26,3
BP-004,2024-10-24,2024-11-12,19
BP-005,2024-10-25,2024-10-31,6
BP-006,2024-10-21,2024-10-17,-4
BP-004,2024-10-28,2024-11-06,9
BP-005,2024-10-29,2024-11-08,10
BP-006,2024-10-30,2024-10-26,-4
BP-001,2024-10-31,2024-11-03,3
BP-002,2024-11-01,2024-10-29,-3
BP-003,2024-10-28,2024-10-30,2
BP-001,2024-11-04,2024-11-09,5
BP-002,2024-11-05,2024-11-03,-2
BP-003,2024-11-06,2024-11-07,1
BP-004,2024-11-07,2024-11-17,10
BP-005,2024-11-08,2024-11-11,3
BP-006,2024-11-04,2024-11-03,-1
BP-004,2024-11-11,2024-11-16,5
BP-005,2024-11-12,2024-11-20,8
BP-006,2024-11-13,2024-11-11,-2
BP-001,2024-11-14,2024-11-18,4
BP-002,2024-11-15,2024-11-12,-3
BP-003,2024-11-11,2024-11-13,2
BP-001,2024-11-18,2024-11-25,7
BP-002,2024-11-19,2024-11-19,0
BP-003,2024-11-20,2024-11-20,0
BP-004,2024-11-21,2024-11-29,8
BP-005,2024-11-22,2024-12-01,9
BP-006,2024-11-18,2024-11-17,-1
BP-004,2024-11-25,2024-12-12,17
BP-005,2024-11-26,2024-12-03,7
BP-006,2024-11-27,2024-11-24,-3
BP-001,2024-11-28,2024-11-30,2
BP-002,2024-11-29,2024-11-28,-1
BP-003,2024-11-25,2024-11-26,1
BP-001,2024-12-02,2024-12-07,5
BP-002,2024-12-03,2024-12-01,-2
BP-003,2024-12-04,2024-12-06,2
BP-004,2024-12-05,2024-12-21,16
BP-005,2024-12-06,2024-12-11,5
BP-006,2024-12-02,2024-11-28,-4
BP-004,2024-12-09,2024-12-25,16
BP-005,2024-12-10,2024-12-21,11
BP-006,2024-12-11,2024-12-08,-3
BP-001,2024-12-12,2024-12-16,4
BP-002,2024-12-13,2024-12-09,-4
BP-003,2024-12-09,2024-12-13,4
BP-001,2024-12-16,2024-12-22,6
BP-002,2024-12-17,2024-12-14,-3
BP-003,2024-12-18,2024-12-18,0
BP-004,2024-12-19,2024-12-23,4
BP-005,2024-12-20,2024-12-29,9
BP-006,2024-12-16,2024-12-14,-2
BP-004,2024-12-23,2024-12-28,5
BP-005,2024-12-24,2025-01-02,9
BP-006,2024-12-25,2024-12-21,-4
BP-001,2024-12-26,2024-12-31,5
BP-002,2024-12-27,2024-12-27,0
BP-003,2024-12-23,2024-12-23,0
BP-001,2024-12-30,2025-01-05,6
BP-002,2024-12-31,2024-12-27,-4
BP-003,2025-01-01,2025-01-01,0
BP-004,2025-01-02,2025-01-07,5
BP-005,2025-01-03,2025-01-12,9
BP-006,2024-12-30,2024-12-28,-2
BP-004,2025-01-06,2025-01-13,7
BP-005,2025-01-07,2025-01-12,5
BP-006,2025-01-08,2025-01-04,-4
BP-001,2025-01-09,2025-01-11,2
BP-002,2025-01-10,2025-01-08,-2
BP-003,2025-01-06,2025-01-10,4
BP-001,2025-01-13,2025-01-15,2
BP-002,2025-01-14,2025-01-10,-4
BP-003,2025-01-15,2025-01-15,0
BP-004,2025-01-16,2025-02-05,20
BP-005,2025-01-17,2025-01-26,9
BP-006,2025-01-13,2025-01-10,-3
BP-004,2025-01-20,2025-01-27,7
BP-005,2025-01-21,2025-01-31,10
BP-006,2025-01-22,2025-01-17,-5
BP-001,2025-01-23,2025-01-26,3
BP-002,2025-01-24,2025-01-23,-1
BP-003,2025-01-20,2025-01-24,4
BP-001,2025-01-27,2025-01-28,1
BP-002,2025-01-28,2025-01-27,-1
BP-003,2025-01-29,2025-01-31,2
BP-004,2025-01-30,2025-02-14,15
BP-005,2025-01-31,2025-02-05,5
BP-006,2025-01-27,2025-01-25,-2
