rate_date,currency,rate_per_eur
2019-06-11,CHF,0.918852
2019-06-11,GBP,0.897069
2019-06-11,USD,1.128067
2019-06-12,CHF,0.919867
2019-06-12,GBP,0.896643
2019-06-12,USD,1.126145
2019-06-13,CHF,0.919601
2019-06-13,GBP,0.887814
2019-06-13,USD,1.119475
2019-06-14,CHF,0.919424
2019-06-14,GBP,0.891563
2019-06-14,USD,1.121253
2019-06-17,CHF,0.916842
2019-06-17,GBP,0.896309
2019-06-17,USD,1.117390
2019-06-18,CHF,0.914839
2019-06-18,GBP,0.897505
2019-06-18,USD,1.118835
2019-06-19,CHF,0.910288
2019-06-19,GBP,0.895373
2019-06-19,USD,1.109137
2019-06-20,CHF,0.907350
2019-06-20,GBP,0.896342
2019-06-20,USD,1.111299
2019-06-21,CHF,0.907930
2019-06-21,GBP,0.893333
2019-06-21,USD,1.117592
2019-06-24,CHF,0.910795
2019-06-24,GBP,0.898720
2019-06-24,USD,1.120015
2019-06-25,CHF,0.913257
2019-06-25,GBP,0.901285
2019-06-25,USD,1.110269
2019-06-26,CHF,0.914587
2019-06-26,GBP,0.898786
2019-06-26,USD,1.105838
2019-06-27,CHF,0.911068
2019-06-27,GBP,0.902426
2019-06-27,USD,1.100078
2019-06-28,CHF,0.913532
2019-06-28,GBP,0.907337
2019-06-28,USD,1.092898
2019-07-01,CHF,0.914766
2019-07-01,GBP,0.910090
2019-07-01,USD,1.094144
2019-07-02,CHF,0.913758
2019-07-02,GBP,0.910898
2019-07-02,USD,1.100810
2019-07-03,CHF,0.915910
2019-07-03,GBP,0.918025
2019-07-03,USD,1.094246
2019-07-04,CHF,0.917453
2019-07-04,GBP,0.919168
2019-07-04,USD,1.101636
2019-07-05,CHF,0.921543
2019-07-05,GBP,0.920535
2019-07-05,USD,1.096010
2019-07-08,CHF,0.921612
2019-07-08,GBP,0.925328
2019-07-08,USD,1.089416
2019-07-09,CHF,0.919529
2019-07-09,GBP,0.926074
2019-07-09,USD,1.093950
2019-07-10,CHF,0.917697
2019-07-10,GBP,0.926593
2019-07-10,USD,1.092853
2019-07-11,CHF,0.918085
2019-07-11,GBP,0.932872
2019-07-11,USD,1.095103
2019-07-12,CHF,0.917701
2019-07-12,GBP,0.930770
2019-07-12,USD,1.099311
2019-07-15,CHF,0.919032
2019-07-15,GBP,0.932413
2019-07-15,USD,1.094403
2019-07-16,CHF,0.918400
2019-07-16,GBP,0.933369
2019-07-16,USD,1.094442
2019-07-17,CHF,0.918863
2019-07-17,GBP,0.940114
2019-07-17,USD,1.093088
2019-07-18,CHF,0.922245
2019-07-18,GBP,0.938483
2019-07-18,USD,1.106910
2019-07-19,CHF,0.920365
2019-07-19,GBP,0.940125
2019-07-19,USD,1.113498
2019-07-22,CHF,0.918741
2019-07-22,GBP,0.937274
2019-07-22,USD,1.117179
2019-07-23,CHF,0.917430
2019-07-23,GBP,0.935546
2019-07-23,USD,1.113241
2019-07-24,CHF,0.918457
2019-07-24,GBP,0.940434
2019-07-24,USD,1.118983
2019-07-25,CHF,0.922801
2019-07-25,GBP,0.945495
2019-07-25,USD,1.118982
2019-07-26,CHF,0.921176
2019-07-26,GBP,0.945023
2019-07-26,USD,1.119857
2019-07-29,CHF,0.922469
2019-07-29,GBP,0.946942
2019-07-29,USD,1.120318
2019-07-30,CHF,0.918464
2019-07-30,GBP,0.945443
2019-07-30,USD,1.125978
2019-07-31,CHF,0.917540
2019-07-31,GBP,0.943900
2019-07-31,USD,1.129403
2019-08-01,CHF,0.919449
2019-08-01,GBP,0.947872
2019-08-01,USD,1.129279
2019-08-02,CHF,0.919013
2019-08-02,GBP,0.948764
2019-08-02,USD,1.128666
2019-08-05,CHF,0.919933
2019-08-05,GBP,0.946578
2019-08-05,USD,1.119751
2019-08-06,CHF,0.920793
2019-08-06,GBP,0.942583
2019-08-06,USD,1.120800
2019-08-07,CHF,0.923049
2019-08-07,GBP,0.943209
2019-08-07,USD,1.120604
2019-08-08,CHF,0.922740
2019-08-08,GBP,0.945424
2019-08-08,USD,1.131849
2019-08-09,CHF,0.919407
2019-08-09,GBP,0.947769
2019-08-09,USD,1.127087
2019-08-12,CHF,0.919783
2019-08-12,GBP,0.946820
2019-08-12,USD,1.119263
2019-08-13,CHF,0.918882
2019-08-13,GBP,0.953167
2019-08-13,USD,1.118651
2019-08-14,CHF,0.918882
2019-08-14,GBP,0.952842
2019-08-14,USD,1.126798
2019-08-15,CHF,0.919528
2019-08-15,GBP,0.954214
2019-08-15,USD,1.131693
2019-08-16,CHF,0.917931
2019-08-16,GBP,0.952771
2019-08-16,USD,1.136783
2019-08-19,CHF,0.918034
2019-08-19,GBP,0.950245
2019-08-19,USD,1.142686
2019-08-20,CHF,0.916569
2019-08-20,GBP,0.946333
2019-08-20,USD,1.138461
2019-08-21,CHF,0.916058
2019-08-21,GBP,0.945971
2019-08-21,USD,1.127530
2019-08-22,CHF,0.913279
2019-08-22,GBP,0.943443
2019-08-22,USD,1.132223
2019-08-23,CHF,0.915405
2019-08-23,GBP,0.942188
2019-08-23,USD,1.125258
2019-08-26,CHF,0.916045
2019-08-26,GBP,0.938147
2019-08-26,USD,1.122177
2019-08-27,CHF,0.915212
2019-08-27,GBP,0.941475
2019-08-27,USD,1.127036
2019-08-28,CHF,0.915258
2019-08-28,GBP,0.941350
2019-08-28,USD,1.140025
2019-08-29,CHF,0.914156
2019-08-29,GBP,0.934059
2019-08-29,USD,1.141753
2019-08-30,CHF,0.916455
2019-08-30,GBP,0.935160
2019-08-30,USD,1.146116
2019-09-02,CHF,0.916633
2019-09-02,GBP,0.931289
2019-09-02,USD,1.148931
2019-09-03,CHF,0.915163
2019-09-03,GBP,0.934900
2019-09-03,USD,1.149826
2019-09-04,CHF,0.915757
2019-09-04,GBP,0.939830
2019-09-04,USD,1.150997
2019-09-05,CHF,0.913484
2019-09-05,GBP,0.940118
2019-09-05,USD,1.145844
2019-09-06,CHF,0.914594
2019-09-06,GBP,0.934432
2019-09-06,USD,1.139063
2019-09-09,CHF,0.912983
2019-09-09,GBP,0.940629
2019-09-09,USD,1.138279
2019-09-10,CHF,0.910109
2019-09-10,GBP,0.938584
2019-09-10,USD,1.143022
2019-09-11,CHF,0.905097
2019-09-11,GBP,0.936397
2019-09-11,USD,1.137512
2019-09-12,CHF,0.903268
2019-09-12,GBP,0.939714
2019-09-12,USD,1.132348
2019-09-13,CHF,0.904029
2019-09-13,GBP,0.933632
2019-09-13,USD,1.132860
2019-09-16,CHF,0.901894
2019-09-16,GBP,0.935404
2019-09-16,USD,1.130226
2019-09-17,CHF,0.901104
2019-09-17,GBP,0.931720
2019-09-17,USD,1.130480
2019-09-18,CHF,0.897790
2019-09-18,GBP,0.932090
2019-09-18,USD,1.127384
2019-09-19,CHF,0.899542
2019-09-19,GBP,0.935597
2019-09-19,USD,1.130960
2019-09-20,CHF,0.900443
2019-09-20,GBP,0.933736
2019-09-20,USD,1.136730
2019-09-23,CHF,0.902762
2019-09-23,GBP,0.929628
2019-09-23,USD,1.141446
2019-09-24,CHF,0.901254
2019-09-24,GBP,0.929045
2019-09-24,USD,1.135600
2019-09-25,CHF,0.901274
2019-09-25,GBP,0.928995
2019-09-25,USD,1.137726
2019-09-26,CHF,0.902098
2019-09-26,GBP,0.927481
2019-09-26,USD,1.137843
2019-09-27,CHF,0.904622
2019-09-27,GBP,0.927357
2019-09-27,USD,1.142694
2019-09-30,CHF,0.906271
2019-09-30,GBP,0.925092
2019-09-30,USD,1.143554
2019-10-01,CHF,0.904369
2019-10-01,GBP,0.925268
2019-10-01,USD,1.142180
2019-10-02,CHF,0.908341
2019-10-02,GBP,0.925719
2019-10-02,USD,1.142120
2019-10-03,CHF,0.912033
2019-10-03,GBP,0.920226
2019-10-03,USD,1.142885
2019-10-04,CHF,0.911820
2019-10-04,GBP,0.921521
2019-10-04,USD,1.141031
2019-10-07,CHF,0.909854
2019-10-07,GBP,0.924979
2019-10-07,USD,1.134076
2019-10-08,CHF,0.909946
2019-10-08,GBP,0.922028
2019-10-08,USD,1.140645
2019-10-09,CHF,0.910837
2019-10-09,GBP,0.922041
2019-10-09,USD,1.140211
2019-10-10,CHF,0.912427
2019-10-10,GBP,0.923310
2019-10-10,USD,1.150004
2019-10-11,CHF,0.911321
2019-10-11,GBP,0.920674
2019-10-11,USD,1.146717
2019-10-14,CHF,0.909048
2019-10-14,GBP,0.919123
2019-10-14,USD,1.148470
2019-10-15,CHF,0.909026
2019-10-15,GBP,0.914518
2019-10-15,USD,1.142002
2019-10-16,CHF,0.909390
2019-10-16,GBP,0.916831
2019-10-16,USD,1.140082
2019-10-17,CHF,0.907569
2019-10-17,GBP,0.918946
2019-10-17,USD,1.130441
2019-10-18,CHF,0.907391
2019-10-18,GBP,0.917737
2019-10-18,USD,1.133060
2019-10-21,CHF,0.906410
2019-10-21,GBP,0.916001
2019-10-21,USD,1.122902
2019-10-22,CHF,0.907941
2019-10-22,GBP,0.918446
2019-10-22,USD,1.124384
2019-10-23,CHF,0.909305
2019-10-23,GBP,0.917238
2019-10-23,USD,1.133724
2019-10-24,CHF,0.908451
2019-10-24,GBP,0.918508
2019-10-24,USD,1.132910
2019-10-25,CHF,0.904253
2019-10-25,GBP,0.914988
2019-10-25,USD,1.136244
2019-10-28,CHF,0.908355
2019-10-28,GBP,0.913585
2019-10-28,USD,1.135878
2019-10-29,CHF,0.907777
2019-10-29,GBP,0.906640
2019-10-29,USD,1.135768
2019-10-30,CHF,0.909607
2019-10-30,GBP,0.904665
2019-10-30,USD,1.134630
2019-10-31,CHF,0.910919
2019-10-31,GBP,0.900244
2019-10-31,USD,1.134865
2019-11-01,CHF,0.911140
2019-11-01,GBP,0.902122
2019-11-01,USD,1.139267
2019-11-04,CHF,0.909425
2019-11-04,GBP,0.896932
2019-11-04,USD,1.140346
2019-11-05,CHF,0.908283
2019-11-05,GBP,0.898224
2019-11-05,USD,1.135018
2019-11-06,CHF,0.909603
2019-11-06,GBP,0.896633
2019-11-06,USD,1.138242
2019-11-07,CHF,0.908174
2019-11-07,GBP,0.895109
2019-11-07,USD,1.125344
2019-11-08,CHF,0.906555
2019-11-08,GBP,0.896477
2019-11-08,USD,1.126351
2019-11-11,CHF,0.906113
2019-11-11,GBP,0.900859
2019-11-11,USD,1.121025
2019-11-12,CHF,0.907895
2019-11-12,GBP,0.902478
2019-11-12,USD,1.119620
2019-11-13,CHF,0.907880
2019-11-13,GBP,0.905304
2019-11-13,USD,1.124314
2019-11-14,CHF,0.905972
2019-11-14,GBP,0.905796
2019-11-14,USD,1.136251
2019-11-15,CHF,0.903099
2019-11-15,GBP,0.902689
2019-11-15,USD,1.131029
2019-11-18,CHF,0.903497
2019-11-18,GBP,0.903724
2019-11-18,USD,1.127204
2019-11-19,CHF,0.908366
2019-11-19,GBP,0.900520
2019-11-19,USD,1.132173
2019-11-20,CHF,0.909648
2019-11-20,GBP,0.901160
2019-11-20,USD,1.124790
2019-11-21,CHF,0.911711
2019-11-21,GBP,0.902839
2019-11-21,USD,1.123323
2019-11-22,CHF,0.913803
2019-11-22,GBP,0.903138
2019-11-22,USD,1.125854
2019-11-25,CHF,0.912594
2019-11-25,GBP,0.904617
2019-11-25,USD,1.129110
2019-11-26,CHF,0.913408
2019-11-26,GBP,0.900310
2019-11-26,USD,1.128738
2019-11-27,CHF,0.913191
2019-11-27,GBP,0.898676
2019-11-27,USD,1.123597
2019-11-28,CHF,0.909664
2019-11-28,GBP,0.896195
2019-11-28,USD,1.117976
2019-11-29,CHF,0.905512
2019-11-29,GBP,0.899946
2019-11-29,USD,1.117998
2019-12-02,CHF,0.905504
2019-12-02,GBP,0.901923
2019-12-02,USD,1.126110
2019-12-03,CHF,0.905530
2019-12-03,GBP,0.903387
2019-12-03,USD,1.128984
2019-12-04,CHF,0.906993
2019-12-04,GBP,0.906735
2019-12-04,USD,1.127316
2019-12-05,CHF,0.909238
2019-12-05,GBP,0.903385
2019-12-05,USD,1.127055
2019-12-06,CHF,0.911367
2019-12-06,GBP,0.907212
2019-12-06,USD,1.124229
2019-12-09,CHF,0.911742
2019-12-09,GBP,0.906825
2019-12-09,USD,1.128751
2019-12-10,CHF,0.912384
2019-12-10,GBP,0.902888
2019-12-10,USD,1.127432
2019-12-11,CHF,0.912227
2019-12-11,GBP,0.900267
2019-12-11,USD,1.126963
2019-12-12,CHF,0.910211
2019-12-12,GBP,0.903511
2019-12-12,USD,1.125836
2019-12-13,CHF,0.907980
2019-12-13,GBP,0.902477
2019-12-13,USD,1.124965
2019-12-16,CHF,0.906809
2019-12-16,GBP,0.902229
2019-12-16,USD,1.121611
2019-12-17,CHF,0.904375
2019-12-17,GBP,0.898307
2019-12-17,USD,1.119671
2019-12-18,CHF,0.899743
2019-12-18,GBP,0.898610
2019-12-18,USD,1.120663
2019-12-19,CHF,0.901729
2019-12-19,GBP,0.902072
2019-12-19,USD,1.117715
2019-12-20,CHF,0.903296
2019-12-20,GBP,0.900173
2019-12-20,USD,1.121841
2019-12-23,CHF,0.902223
2019-12-23,GBP,0.902560
2019-12-23,USD,1.131258
2019-12-24,CHF,0.902604
2019-12-24,GBP,0.904261
2019-12-24,USD,1.132635
2019-12-25,CHF,0.901834
2019-12-25,GBP,0.899387
2019-12-25,USD,1.135795
2019-12-26,CHF,0.906484
2019-12-26,GBP,0.896321
2019-12-26,USD,1.132775
2019-12-27,CHF,0.906051
2019-12-27,GBP,0.896808
2019-12-27,USD,1.123738
2019-12-30,CHF,0.907396
2019-12-30,GBP,0.897876
2019-12-30,USD,1.125295
2019-12-31,CHF,0.904829
2019-12-31,GBP,0.897393
2019-12-31,USD,1.125720
2020-01-01,CHF,0.904455
2020-01-01,GBP,0.895431
2020-01-01,USD,1.130495
2020-01-02,CHF,0.905179
2020-01-02,GBP,0.897345
2020-01-02,USD,1.134773
2020-01-03,CHF,0.901114
2020-01-03,GBP,0.900815
2020-01-03,USD,1.135319
2020-01-06,CHF,0.903052
2020-01-06,GBP,0.897422
2020-01-06,USD,1.139808
2020-01-07,CHF,0.902213
2020-01-07,GBP,0.895894
2020-01-07,USD,1.137828
2020-01-08,CHF,0.906932
2020-01-08,GBP,0.899679
2020-01-08,USD,1.133498
2020-01-09,CHF,0.911654
2020-01-09,GBP,0.905333
2020-01-09,USD,1.131989
2020-01-10,CHF,0.910661
2020-01-10,GBP,0.907349
2020-01-10,USD,1.128138
2020-01-13,CHF,0.909388
2020-01-13,GBP,0.906528
2020-01-13,USD,1.131893
2020-01-14,CHF,0.911939
2020-01-14,GBP,0.907159
2020-01-14,USD,1.130105
2020-01-15,CHF,0.910858
2020-01-15,GBP,0.908681
2020-01-15,USD,1.130732
2020-01-16,CHF,0.909999
2020-01-16,GBP,0.908653
2020-01-16,USD,1.127435
2020-01-17,CHF,0.910028
2020-01-17,GBP,0.909764
2020-01-17,USD,1.129925
2020-01-20,CHF,0.913217
2020-01-20,GBP,0.909056
2020-01-20,USD,1.127974
2020-01-21,CHF,0.912837
2020-01-21,GBP,0.912595
2020-01-21,USD,1.123552
2020-01-22,CHF,0.913596
2020-01-22,GBP,0.911937
2020-01-22,USD,1.139067
2020-01-23,CHF,0.918099
2020-01-23,GBP,0.913101
2020-01-23,USD,1.142439
2020-01-24,CHF,0.919395
2020-01-24,GBP,0.922104
2020-01-24,USD,1.141897
2020-01-27,CHF,0.920819
2020-01-27,GBP,0.916430
2020-01-27,USD,1.146877
2020-01-28,CHF,0.918394
2020-01-28,GBP,0.920929
2020-01-28,USD,1.149995
2020-01-29,CHF,0.917070
2020-01-29,GBP,0.921910
2020-01-29,USD,1.152014
2020-01-30,CHF,0.917671
2020-01-30,GBP,0.920497
2020-01-30,USD,1.155258
2020-01-31,CHF,0.917514
2020-01-31,GBP,0.916562
2020-01-31,USD,1.161157
2020-02-03,CHF,0.915789
2020-02-03,GBP,0.918046
2020-02-03,USD,1.163595
2020-02-04,CHF,0.917856
2020-02-04,GBP,0.921017
2020-02-04,USD,1.163351
2020-02-05,CHF,0.917316
2020-02-05,GBP,0.925919
2020-02-05,USD,1.163342
2020-02-06,CHF,0.916281
2020-02-06,GBP,0.928379
2020-02-06,USD,1.163860
2020-02-07,CHF,0.916051
2020-02-07,GBP,0.927376
2020-02-07,USD,1.163905
2020-02-10,CHF,0.918215
2020-02-10,GBP,0.930512
2020-02-10,USD,1.161162
2020-02-11,CHF,0.920575
2020-02-11,GBP,0.930695
2020-02-11,USD,1.166435
2020-02-12,CHF,0.919373
2020-02-12,GBP,0.930944
2020-02-12,USD,1.166878
2020-02-13,CHF,0.920242
2020-02-13,GBP,0.932877
2020-02-13,USD,1.173616
2020-02-14,CHF,0.920540
2020-02-14,GBP,0.932582
2020-02-14,USD,1.172021
2020-02-17,CHF,0.921806
2020-02-17,GBP,0.936654
2020-02-17,USD,1.162533
2020-02-18,CHF,0.924704
2020-02-18,GBP,0.934160
2020-02-18,USD,1.161445
2020-02-19,CHF,0.922379
2020-02-19,GBP,0.934899
2020-02-19,USD,1.160156
2020-02-20,CHF,0.921407
2020-02-20,GBP,0.934009
2020-02-20,USD,1.158717
