week_start,week_of_year,inflow_eur
2024-12-30,1,46218.42
2025-01-06,2,46893.54
2025-01-13,3,50618.69
2025-01-20,4,48880.06
2025-01-27,5,44681.53
2025-02-03,6,44452.15
2025-02-10,7,45294.91
2025-02-17,8,43432.06
2025-02-24,9,44708.21
2025-03-03,10,41819.97
2025-03-10,11,41489.55
2025-03-17,12,42424.80
2025-03-24,13,41632.97
2025-03-31,14,37134.80
2025-04-07,15,36538.25
2025-04-14,16,38584.33
2025-04-21,17,35685.83
2025-04-28,18,35651.81
2025-05-05,19,33640.57
2025-05-12,20,33596.31
2025-05-19,21,35324.19
2025-05-26,22,34167.04
2025-06-02,23,34392.04
2025-06-09,24,33294.84
2025-06-16,25,33270.45
2025-06-23,26,33105.12
2025-06-30,27,33692.01
2025-07-07,28,33416.17
2025-07-14,29,34978.52
2025-07-21,30,34683.33
2025-07-28,31,37268.54
2025-08-04,32,39737.86
2025-08-11,33,38238.58
2025-08-18,34,38238.36
2025-08-25,35,40046.82
2025-09-01,36,42454.02
2025-09-08,37,41497.97
2025-09-15,38,43778.24
2025-09-22,39,41607.94
2025-09-29,40,42908.46
2025-10-06,41,45042.92
2025-10-13,42,47331.68
2025-10-20,43,48472.14
2025-10-27,44,49347.79
2025-11-03,45,45582.60
2025-11-10,46,51016.05
2025-11-17,47,46171.81
2025-11-24,48,51048.40
2025-12-01,49,50046.90
2025-12-08,50,49865.38
2025-12-15,51,48587.31
2025-12-22,52,50674.31
2025-12-29,1,46985.84
2026-01-05,2,49560.68
2026-01-12,3,47025.49
2026-01-19,4,49318.99
2026-01-26,5,47495.83
2026-02-02,6,48287.47
2026-02-09,7,48016.19
2026-02-16,8,42111.37
2026-02-23,9,41687.90
2026-03-02,10,44527.84
2026-03-09,11,44004.12
2026-03-16,12,42426.10
2026-03-23,13,38061.34
2026-03-30,14,39460.63
2026-04-06,15,37206.63
2026-04-13,16,39009.19
2026-04-20,17,36359.45
2026-04-27,18,38438.66
2026-05-04,19,34259.73
2026-05-11,20,35457.20
2026-05-18,21,34806.95
2026-05-25,22,32943.36
2026-06-01,23,34179.66
2026-06-08,24,35114.27
2026-06-15,25,36036.05
2026-06-22,26,35221.25
2026-06-29,27,34491.28
2026-07-06,28,36383.70
2026-07-13,29,36365.38
2026-07-20,30,38044.42
2026-07-27,31,37326.19
2026-08-03,32,38838.17
2026-08-10,33,37401.64
2026-08-17,34,41340.43
2026-08-24,35,37821.04
2026-08-31,36,42000.66
2026-09-07,37,39972.64
2026-09-14,38,45154.44
2026-09-21,39,45448.06
2026-09-28,40,45351.33
2026-10-05,41,47580.61
2026-10-12,42,43572.04
2026-10-19,43,47871.39
2026-10-26,44,50262.25
2026-11-02,45,47061.08
2026-11-09,46,47035.75
2026-11-16,47,46556.03
2026-11-23,48,48735.30
2026-11-30,49,50132.57
2026-12-07,50,52044.44
2026-12-14,51,51845.59
2026-12-21,52,48801.30
